case_id,activity,timestamp,resource,channel,region,issue_type
ORD-00006,Payment Confirmed,,PaymentGateway,Online,East,MISSING_TIMESTAMP
ORD-00015,Delivery Confirmed,,Carrier,Online,North,MISSING_TIMESTAMP
ORD-00017,Packing,2025-07-19 16:25:39.632115,,Online,North,NULL_RESOURCE
ORD-00019,Warehouse Assignment,2025-03-03 14:07:06.873458,,Marketplace,West,NULL_RESOURCE
ORD-00022,Dispatch,2027-06-01 00:00:00.000000,Logistics,Marketplace,South,FUTURE_TIMESTAMP
ORD-00022,Marketplace Sync,,SAP_EWM,Marketplace,South,MISSING_TIMESTAMP
ORD-00023,Collected by Customer,,POS_Terminal,ClickCollect,North,MISSING_TIMESTAMP
ORD-00024,SAP Booking,,SAP_EWM,Online,North,MISSING_TIMESTAMP
ORD-00026,Dispatch,2025-04-02 18:39:57.094267,,Marketplace,North,NULL_RESOURCE
ORD-00026,Warehouse Assignment,,WMS,Marketplace,North,MISSING_TIMESTAMP
ORD-00028,Payment Confirmed,2025-12-14 16:05:54.672110,,ClickCollect,West,NULL_RESOURCE
ORD-00037,Picking,2025-12-22 11:01:56.352226,,Online,West,NULL_RESOURCE
ORD-00041,Packing,2027-06-01 00:00:00.000000,Warehouse_Staff,Online,North,FUTURE_TIMESTAMP
ORD-00042,Payment Confirmed,,PaymentGateway,Online,South,MISSING_TIMESTAMP
ORD-00044,Picking,,Warehouse_Staff,Online,East,MISSING_TIMESTAMP
ORD-00053,Ready for Collection,2025-04-27 00:13:45.444515,,ClickCollect,Online,NULL_RESOURCE
ORD-00060,Delivery Confirmed,2025-03-01 20:27:30.954346,,Online,East,NULL_RESOURCE
ORD-00061,Order Placed,2025-05-17 10:59:00.000000,,ClickCollect,South,NULL_RESOURCE
ORD-00062,Dispatch,,Logistics,Online,West,MISSING_TIMESTAMP
ORD-00064,Delivery Confirmed,,Carrier,Online,East,MISSING_TIMESTAMP
ORD-00065,Payment Confirmed,,PaymentGateway,Online,South,MISSING_TIMESTAMP
ORD-00066,Dispatch,,Logistics,Online,Online,MISSING_TIMESTAMP
ORD-00067,Dispatch,2027-06-01 00:00:00.000000,Logistics,Online,Online,FUTURE_TIMESTAMP
ORD-00074,Payment Confirmed,2025-02-16 15:22:31.615213,,Online,South,NULL_RESOURCE
ORD-00075,Collected by Customer,2025-06-01 18:56:32.096917,,ClickCollect,West,NULL_RESOURCE
ORD-00078,Dispatch,2025-03-01 11:26:16.198271,,Online,West,NULL_RESOURCE
ORD-00081,Ready for Collection,,StoreSystem,ClickCollect,South,MISSING_TIMESTAMP
ORD-00082,Payment Confirmed,2025-03-31 09:44:23.724581,,Online,East,NULL_RESOURCE
ORD-00084,Order Placed,,Website,ClickCollect,North,MISSING_TIMESTAMP
ORD-00085,Delivery Confirmed,,Carrier,Online,Online,MISSING_TIMESTAMP
ORD-00087,Delivery Confirmed,2025-02-04 10:26:36.877601,,Online,West,NULL_RESOURCE
ORD-00087,Packing,,Warehouse_Staff,Online,West,MISSING_TIMESTAMP
ORD-00092,Picking,2025-05-26 21:49:57.969058,,Online,North,NULL_RESOURCE
ORD-00099,Packing,,Warehouse_Staff,Online,Online,MISSING_TIMESTAMP
ORD-00100,Packing,,Warehouse_Staff,Online,West,MISSING_TIMESTAMP
ORD-00102,Collected by Customer,2025-03-08 10:35:12.307901,,ClickCollect,West,NULL_RESOURCE
ORD-00103,SAP Booking,2025-09-18 17:04:58.150445,,Online,West,NULL_RESOURCE
ORD-00105,Payment Confirmed,2027-06-01 00:00:00.000000,PaymentGateway,Online,West,FUTURE_TIMESTAMP
ORD-00109,Ready for Collection,2027-06-01 00:00:00.000000,StoreSystem,ClickCollect,South,FUTURE_TIMESTAMP
ORD-00111,Order Placed,2025-10-02 06:40:00.000000,Marketplace_API,Marketplace,Online,DUPLICATE_EVENT
ORD-00111,Marketplace Sync,2025-10-02 06:41:29.032576,SAP_EWM,Marketplace,Online,DUPLICATE_EVENT
ORD-00111,Payment Confirmed,2025-10-02 06:50:04.397836,PaymentGateway,Marketplace,Online,DUPLICATE_EVENT
ORD-00111,SAP Booking,2025-10-02 06:51:55.906503,SAP_EWM,Marketplace,Online,DUPLICATE_EVENT
ORD-00111,Warehouse Assignment,2025-10-02 07:03:04.792253,WMS,Marketplace,Online,DUPLICATE_EVENT
ORD-00111,Picking,2025-10-02 07:06:31.395379,Warehouse_Staff,Marketplace,Online,DUPLICATE_EVENT
ORD-00111,Packing,2025-10-02 07:55:40.979279,Warehouse_Staff,Marketplace,Online,DUPLICATE_EVENT
